Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,latitude,longitude
Udslusningen. (Bækkely Fonden),"Kettingevej 92
    

    4892 Kettinge","Godkendt
        28-05-2024","2.413,62 - 2.413,62 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 pladser -
            ingen ledige",Marie Berendt Hallberg,marie@bekkely.dk,26611448,9.910.884 kr.,258.665 kr.,280.537 kr.,4.694.802 kr.,242.861 kr.,43 %,"2,61 %","67,2 %","3,42 %",29 %,54.697102,11.746574
Kildegade (Specialområde Autisme Gødvad),"Kildegade 23
    

    8700 Horsens","Godkendt
        03-01-2025",1.937 - 1.937 kr.,"Botilbud til midlertidige ophold, § 107","14 - Botilbud til midlertidige ophold, § 107",Kontakt afdelingen om ledige pladser,Sanne Frølund,safroe@rm.dk,24753799,39.291.000 kr.,1.546.000 kr.,656.000 kr.,22.681.000 kr.,0 kr.,,"3,93 %","64,6 %","10,74 %","37,7 %",55.863907,9.851888
Søhuset (Nødebogård),"Kildeportvej 20
    

    3480 Fredensborg","Godkendt
        20-08-2024",4.249 - 11.049 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","7 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","7 pladser -
                Kontakt afdelingen om ledige pladser",Tine Stryhn,tine.stryhn@regionh.dk,38668080,94.391.645 kr.,16.104.766 kr.,4.605.931 kr.,41.125.193 kr.,8.035.441 kr.,,"17,06 %","61,67 %",7 %,"29,8 %",55.977118,12.339368
Skovhuset (Nødebogård),"Kildeportvej 20
    

    3480 Fredensborg","Godkendt
        20-08-2024",4.234 - 4.234 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","1 pladser -
                Kontakt afdelingen om ledige pladser",Tine Stryhn,tine.stryhn@regionh.dk,38668080,94.391.645 kr.,16.104.766 kr.,4.605.931 kr.,41.125.193 kr.,8.035.441 kr.,,"17,06 %","61,67 %",7 %,"29,8 %",55.977118,12.339368
Udsigten (Nødebogård),"Kildeportvej 20
    

    3480 Fredensborg","Godkendt
        20-08-2024",4.249 - 11.049 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    8 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","8 pladser -
                Kontakt afdelingen om ledige pladser",Tine Stryhn,tine.stryhn@regionh.dk,38668080,94.391.645 kr.,16.104.766 kr.,4.605.931 kr.,41.125.193 kr.,8.035.441 kr.,,"17,06 %","61,67 %",7 %,"29,8 %",55.977118,12.339368
Akut- og kileaflastning (Aktivitetstilbuddet Kileparken),"Kileparken 21
    

    8381 Tilst","Godkendt
        05-02-2024",2.774 - 2.774 kr.,"Botilbud til midlertidige ophold, § 107","5 - Botilbud til midlertidige ophold, § 107","5 pladser -
            ingen ledige",Jakob Ballebye,cav@msb.aarhus.dk,41890806,,,,,,,,,,,56.186294,10.115215
Farum Hovedgade 72,"Kirke Værløsevej 40, 1. 
    

    3500 Værløse","Godkendt
        24-04-2024","3.420,75 - 3.420,75 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    3 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 pladser -
                Kontakt afdelingen om ledige pladser",Charlotte Larsen,chl@farumhovedgade72.dk,53816030,,,,,,,,,,,,
Botræningstilbuddet Søndersø,"Kirke Værløsevej 48E, st.  15
    

    3500 Værløse","Godkendt
        12-02-2025",1.443 - 1.443 kr.,"Botilbud til midlertidige ophold, § 107","16 - Botilbud til midlertidige ophold, § 107","16 pladser -
            ingen ledige",Jacob Arnstrup,jara@furesoe.dk,72165053,,,,,,,,,,,,
Altiden Kirkebjerg Allé 56 (Altiden Vivamus Voksen),"Kirkebjerg Allé 56
    

    2720 Vanløse","Godkendt
        07-01-2025","10.768,75 - 14.644,85 kr.","Botilbud til midlertidige ophold, § 107","2 - Botilbud til midlertidige ophold, § 107","2 pladser -
                Kontakt afdelingen om ledige pladser",Bettina Råschou,bettina.raschou@altiden.dk,31190955,32.979.309 kr.,-664.020 kr.,0 kr.,16.374.102 kr.,4.659.712 kr.,"15,26 %","-2,01 %","69,28 %","11,85 %","12,5 %",55.6946,12.480913
Altiden Kirkebjerg Allé 58A (Altiden Vivamus Voksen),"Kirkebjerg Allé 58A
    

    2720 Vanløse","Godkendt
        07-01-2025","3.307,52 - 3.307,52 kr.","Botilbud til midlertidige ophold, § 107","5 - Botilbud til midlertidige ophold, § 107","5 pladser -
                Kontakt afdelingen om ledige pladser",Bettina Råschou,bettina.raschou@altiden.dk,31190955,32.979.309 kr.,-664.020 kr.,0 kr.,16.374.102 kr.,4.659.712 kr.,"15,26 %","-2,01 %","69,28 %","11,85 %","12,5 %",55.694575,12.480649
Solvænget (Allerød Bo og Støtte),"Kirkehaven 2
    

    3450 Allerød","Godkendt
        11-02-2025","1.103,45 - 2.241,15 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","15 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","15 pladser -
            ingen ledige",Johan Banach,jgrd@alleroed.dk,29336743,19.879.711 kr.,256.639 kr.,284.656 kr.,12.754.456 kr.,2.993.130 kr.,,"1,29 %","86,81 %","1,38 %","6,25 %",55.872599,12.346008
Botilbuddet Kirkeleddet 6 (Botilbuddet Kirkeleddet 8),"Kirkeleddet 8
    

    3230 Græsted","Godkendt med skærpet tilsyn
        16-01-2025",2.944 - 4.116 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
            ingen ledige",Daniella Skafsgaard,daniella.skafsgaard@altiden.dk,61952014,21.245.733 kr.,-301.501 kr.,0 kr.,11.953.554 kr.,3.276.229 kr.,,"-1,42 %","82,98 %","2,33 %","23,33 %",56.065217,12.278248
Botilbuddet Kirkeleddet 10 - 20 (Botilbuddet Kirkeleddet 8),"Kirkeleddet 8
    

    3230 Græsted","Godkendt med skærpet tilsyn
        16-01-2025",934 - 1.638 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 pladser -
                Kontakt afdelingen om ledige pladser",Daniella Skafsgaard,daniella.skafsgaard@altiden.dk,61952014,21.245.733 kr.,-301.501 kr.,0 kr.,11.953.554 kr.,3.276.229 kr.,,"-1,42 %","82,98 %","2,33 %","23,33 %",56.065217,12.278248
"Kirkevej, Hus A (Autismecenter Syddanmark, Æblehaven, Holmehøj og Kirkevej)","Kirkevej 14A
    

    5772 Kværndrup","Godkendt
        16-04-2025",2.845 - 5.479 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","0 - Botilbud til midlertidige ophold, § 107
                
            
                
                    14 - Botilbud til længerevarende ophold, § 108",ingen ledige,Anne-Mette Sørensen,amso@rsyd.dk,30324621,22.075.000 kr.,-329.000 kr.,1.107.000 kr.,15.218.000 kr.,839.000 kr.,,"-1,49 %","80,7 %","6,4 %","10,8 %",55.174697,10.534259
"Kirkevej, Hus C (Autismecenter Syddanmark, Æblehaven, Holmehøj og Kirkevej)","Kirkevej 14A
    

    5772 Kværndrup","Godkendt
        16-04-2025",7.735 - 7.735 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","6 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","0 pladser -
            ingen ledige",Anne-Mette Sørensen,amso@rsyd.dk,30324621,22.075.000 kr.,-329.000 kr.,1.107.000 kr.,15.218.000 kr.,839.000 kr.,,"-1,49 %","80,7 %","6,4 %","10,8 %",55.174697,10.534259
Fonden Den Gamle Skole,"Kirkevej 2
    

    4440 Mørkøv","Godkendt
        31-10-2024","2.258,12 - 2.258,12 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    3 - Botilbud til længerevarende ophold, § 108","3 pladser -
            ingen ledige",Hanne Anne-Mette Nielsen,am@fondendengamleskole.dk,40124470,,,,,,,,,,,55.673069,11.480812
"Bofællesskabet Nord, Kirkevej","Kirkevej 25
    

    9990 Skagen","Godkendt
        15-11-2024",1.102 - 2.739 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 pladser -
                Kontakt afdelingen om ledige pladser",Eva Abel,post@frederikshavn.dk,21248347,,,,,,,,,,,57.723671,10.581032
Udsigten,"Kirkevej 35B
    

    3230 Græsted","Godkendt
        19-11-2024","1.493,34 - 1.920,02 kr.","Botilbud til midlertidige ophold, § 107","7 - Botilbud til midlertidige ophold, § 107","7 pladser -
                Kontakt afdelingen om ledige pladser",Kirsten Poulsen,kpoul@gribskov.dk,72496722,,,,,,,,,,,56.085105,12.203327
Botilbuddet Birkebo ApS,"Klejtrupvej 15
    

    9500 Hobro","Godkendt
        08-11-2024","1.417,64 - 1.417,64 kr.","Botilbud til midlertidige ophold, § 107","9 - Botilbud til midlertidige ophold, § 107","9 pladser -
            ingen ledige",Janne Gudum,janne@birkebo1og2.dk,28121054,7.426.000 kr.,406.000 kr.,344.000 kr.,2.827.000 kr.,270.000 kr.,82 %,"5,47 %","64,17 %","9,7 %",0 %,56.594924,9.739934
Botilbuddet Birkebo ApS: B2 (Botilbuddet Birkebo ApS),"Klejtrupvej 15
    

    9500 Hobro","Godkendt
        08-11-2024","1.417,64 - 1.417,64 kr.","Botilbud til midlertidige ophold, § 107","4 - Botilbud til midlertidige ophold, § 107","4 pladser -
            ingen ledige",Janne Gudum,janne@birkebo1og2.dk,28121054,7.426.000 kr.,406.000 kr.,344.000 kr.,2.827.000 kr.,270.000 kr.,82 %,"5,47 %","64,17 %","9,7 %",0 %,56.594924,9.739934
Habitus Huset Sølyst,"Klintevej 29
    

    4654 Faxe Ladeplads","Godkendt
        06-03-2025","1.933,76 - 10.303,2 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    6 - Botilbud til længerevarende ophold, § 108
                
            
                
                    11 - Aktivitets- og samværstilbud, § 104","11 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 11 pladser forbeholdt beboere på botilbuddet",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,36.141.048 kr.,2.102.384 kr.,267.464 kr.,19.720.538 kr.,3.284.926 kr.,"28,3 %","5,82 %","68,78 %","6,8 %","41,1 %",55.219572,12.176783
Nordfyns Ungdomscenter - til unge med særlige behov,"Klintevej 48A
    

    5400 Bogense","Godkendt
        19-11-2024","653,49 - 2.683,6 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","0 - Botilbud til længerevarende ophold, § 108
                
            
                
                    12 - Aktivitets- og samværstilbud, § 104
                
            
                
                    0 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    18 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","0 pladser -
                Kontakt afdelingen om ledige pladser",Jeanette Kaysen,jk@nordfynsungdomscenter.dk,23327521,,,,,,,,,,,55.591071,10.258651
Skovgården (Granhøjens Botilbud A/S),"Klintvej 180
    

    4500 Nykøbing Sj","Godkendt
        04-02-2025","2.924,01 - 2.924,01 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Botilbud til længerevarende ophold, § 108
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107","2 pladser -
                Kontakt afdelingen om ledige pladser",Eva Maria Albæk,botilbud@grh.dk,59932301,39.835.411 kr.,-1.892.738 kr.,2.214.847 kr.,16.582.914 kr.,1.143.107 kr.,"76,61 %","-4,75 %","55,57 %","15,18 %","33,3 %",55.947578,11.580285
Botilbuddet Klosterhaven,"Klosterhaven 1 1
    

    8620 Kjellerup","Godkendt
        17-12-2024",1.419 - 2.982 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
            ingen ledige",Kirsten Bøegh Filtenborg,KirstenBoegh.Filtenborg@silkeborg.dk,91170813,,,,,,,,,,,56.2798639,9.4305065
Botilbud Klostermosen,"Klostermosen 2
    

    4400 Kalundborg","Godkendt
        15-08-2024",1.495 - 3.363 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","40 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","40 pladser -
            ingen ledige",Susanne Rasmussen,sure@kalundborg.dk,21205085,,,,,,,,,,,55.684868,11.11408
Habitus Huset Kløvermarken (Habitus Huset Nordahl),"Kløvermarken 15
    

    8765 Klovborg","Godkendt
        12-01-2025","1.933,76 - 19.408,18 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","1 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 1 pladser forbeholdt beboere på botilbuddet",Elizabeth Bergstrøm,ehb@habitus.dk,25257069,16.102.717 kr.,-162.001 kr.,23.337 kr.,9.265.454 kr.,1.162.431 kr.,-19 %,"-1,01 %","71,28 %","7,2 %","27,78 %",55.933313,9.490881
Botilbud Lindholm 24 A (Botilbud Lindholm),"Knokbjerg 24B
    

    6100 Haderslev","Godkendt
        30-04-2025","5.008,5 - 13.642,2 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","3 - Botilbud til længerevarende ophold, § 108
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Bjarne Wojtaszewski,kontakt@botilbud-lindholm.dk,42525175,,,,,,,,,,,55.204913,9.446919
Botilbud Lindholm 24 C (Botilbud Lindholm),"Knokbjerg 24B
    

    6100 Haderslev","Godkendt
        30-04-2025","1.097,1 - 13.642,2 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108","3 - Botilbud til midlertidige ophold, § 107
                
            
                
                    10 - Aktivitets- og samværstilbud, § 104
                
            
                
                    4 - Botilbud til længerevarende ophold, § 108","10 pladser -
            ingen ledige",Bjarne Wojtaszewski,kontakt@botilbud-lindholm.dk,42525175,,,,,,,,,,,55.204913,9.446919
Bofællesskabet Knuthenborgvej,"Knuthenborgvej 21D
    

    7400 Herning","Godkendt
        16-10-2024",461 - 786 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","20 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","20 pladser -
                Kontakt afdelingen om ledige pladser",Tina Pedersen,bshtp@herning.dk,91163533,,,,,,,,,,,56.153387,8.935449
HabitusHuset Kobberøvej (HabitusHuset Sct. Mortensgaard),"Kobberøvej 5
    

    7760 Hurup Thy","Godkendt
        08-11-2024","21.205,51 - 21.205,51 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Haizmann Bergstrøm,ehb@habitus.dk,20610241,,,,,,,,,,,56.722875,8.329526
